643,Real,Real Activ 100% Mixed Fruit Juice,1 L,99,https://rukminim1.flixcart.com/image/280/280/jvtujrk0/drinks-juice/n/f/4/1-activ-100-mixed-fruit-juice-tetrapack-real-original-imafgggrp8ezf4g4.jpeg?q=70
643,Real,Real Activ 100% Tender Coconut Water,6x200 ml,192,https://rukminim1.flixcart.com/image/280/280/jvif0y80/drinks-juice/c/v/6/1200-real-activ-coconut-water-200ml-pack-of-6-bulk-pack-activ-original-imafgedmdhzpjjmm.jpeg?q=70
643,Real,Real Fruit Juice - Cranberry,1 L,108,https://rukminim1.flixcart.com/image/280/280/j65cnm80/drinks-juice/p/f/t/1-fruit-power-cranberry-tetrapack-real-original-imaewzudhezch8uu.jpeg?q=70
643,Real,Real Activ 100% Apple Juice,1 L,99,https://rukminim1.flixcart.com/image/280/280/jvtujrk0/drinks-juice/a/k/e/1-activ-100-apple-juice-tetrapack-real-original-imafgggrgajmgrhw.jpeg?q=70
643,Real,Real Fruit Juice Grape,1 L,99,https://rukminim1.flixcart.com/image/280/280/j8ndea80/drinks-juice/j/f/d/1-fruit-juice-grape-tetrapack-real-original-imaeymu5magd28kn.jpeg?q=70
643,Real,Real Fruit Juice - Mosambi,1 L,108,https://rukminim1.flixcart.com/image/280/280/jggv53k0/drinks-juice/s/p/y/1-fruit-juice-mosambi-tetrapack-real-original-imaf4pc9v4zuaurj.jpeg?q=70
643,Real,Real Alphonso Mango Nectar,1 L,107,https://rukminim1.flixcart.com/image/280/280/jievpu80/drinks-juice/m/y/4/1-alphonso-mango-tetrapack-real-original-imaf67smxb3g7z39.jpeg?q=70
643,Real,Real Masala Pomegranate,1 L,108,https://rukminim1.flixcart.com/image/280/280/jievpu80/drinks-juice/5/6/p/1-masala-pomegranate-tetrapack-real-original-imaf67smhxehfetz.jpeg?q=70
643,Real,Real Masala Aam Panna,1 L,98,https://rukminim1.flixcart.com/image/280/280/jyafukw0/drinks-juice/v/6/m/1-masala-aampanna-tetrapack-real-fruit-power-original-imafgjmjtu3tc8gk.jpeg?q=70
643,Storia,Storia Pomogranate Masala Drinks,180 ml,25,https://rukminim1.flixcart.com/image/280/280/ka5oia80/drinks-juice/b/7/b/180-pomogranate-masala-drinks-glass-bottle-storia-original-imafrsm3fhuvjyyk.jpeg?q=70
